--------- beginning of main
--------- beginning of system
---------------------------- PROCESS STARTED (3122) for package com.example.financialapp ----------------------------
2025-07-08 16:48:55.320  3122-3122  nativeloader            com.example.financialapp             D  Configuring clns-9 for other apk /data/app/~~g9KuHgextp0uMfXVhXadCg==/com.example.financialapp-0TSoet5GBlSZjrpF17cpDg==/base.apk. target_sdk_version=35, uses_libraries=, library_path=/data/app/~~g9KuHgextp0uMfXVhXadCg==/com.example.financialapp-0TSoet5GBlSZjrpF17cpDg==/lib/x86_64, permitted_path=/data:/mnt/expand:/data/user/0/com.example.financialapp
2025-07-08 16:48:57.553  3122-3264  Repository              com.example.financialapp             D  获取2025年1月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.553  3122-3264  Repository              com.example.financialapp             D  获取2025年2月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.553  3122-3264  Repository              com.example.financialapp             D  获取2025年3月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.553  3122-3264  Repository              com.example.financialapp             D  获取2025年4月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.553  3122-3264  Repository              com.example.financialapp             D  获取2025年5月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.553  3122-3264  Repository              com.example.financialapp             D  获取2025年6月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.553  3122-3264  Repository              com.example.financialapp             D  累积计税: 2025年7月
2025-07-08 16:48:57.569  3122-3266  Repository              com.example.financialapp             D  获取2025年7月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.570  3122-3266  Repository              com.example.financialapp             D  获取2025年1月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.571  3122-3264  Repository              com.example.financialapp             D  累计应纳税所得额: 0.0
2025-07-08 16:48:57.571  3122-3264  Repository              com.example.financialapp             D  累计应纳税额: 0.0
2025-07-08 16:48:57.572  3122-3264  Repository              com.example.financialapp             D  上月累计已缴税额: 0.0
2025-07-08 16:48:57.572  3122-3264  Repository              com.example.financialapp             D  当月应缴税额: 0.0
2025-07-08 16:48:57.572  3122-3264  Repository              com.example.financialapp             D  财务计算: 总工资=0.0, 纳税基数=0.0, 社保基数=0.0
2025-07-08 16:48:57.572  3122-3264  Repository              com.example.financialapp             D  社保=0.0, 公积金=0.0, 税额=0.0, 实发=0.0
2025-07-08 16:48:57.576  3122-3266  Repository              com.example.financialapp             D  获取2025年2月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.597  3122-3266  Repository              com.example.financialapp             D  获取2025年3月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.597  3122-3266  Repository              com.example.financialapp             D  获取2025年4月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.597  3122-3266  Repository              com.example.financialapp             D  获取2025年5月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.597  3122-3266  Repository              com.example.financialapp             D  获取2025年6月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.597  3122-3266  Repository              com.example.financialapp             D  获取2025年7月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.597  3122-3266  Repository              com.example.financialapp             D  获取2025年1月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.597  3122-3266  Repository              com.example.financialapp             D  获取2025年2月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.597  3122-3266  Repository              com.example.financialapp             D  获取2025年3月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.597  3122-3266  Repository              com.example.financialapp             D  获取2025年4月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.597  3122-3266  Repository              com.example.financialapp             D  获取2025年5月设置: 工资=0.0, 来源=无记录
